,DateTime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
0,2010-06-29 00:00:00+00:00,19.0,25.0,17.54,23.89,18766300,0.0,0.0,
1,2010-06-30 00:00:00+00:00,25.79,30.42,23.3,23.83,17187100,0.0,0.0,
2,2010-07-01 00:00:00+00:00,25.0,25.92,20.27,21.96,8218800,0.0,0.0,
3,2010-07-02 00:00:00+00:00,23.0,23.1,18.71,19.2,5139800,0.0,0.0,
4,2010-07-06 00:00:00+00:00,20.0,20.0,15.83,16.11,6866900,0.0,0.0,
5,2010-07-07 00:00:00+00:00,16.4,16.63,14.98,15.8,6921700,0.0,0.0,
6,2010-07-08 00:00:00+00:00,16.14,17.52,15.57,17.46,7711400,0.0,0.0,
7,2010-07-09 00:00:00+00:00,17.58,17.9,16.55,17.4,4050600,0.0,0.0,
8,2010-07-12 00:00:00+00:00,17.95,18.07,17.0,17.05,2202500,0.0,0.0,
9,2010-07-13 00:00:00+00:00,17.39,18.64,16.9,18.14,2680100,0.0,0.0,
10,2010-07-14 00:00:00+00:00,17.94,20.15,17.76,19.84,4195200,0.0,0.0,
11,2010-07-15 00:00:00+00:00,19.94,21.5,19.0,19.89,3739800,0.0,0.0,
12,2010-07-16 00:00:00+00:00,20.7,21.3,20.05,20.64,2621300,0.0,0.0,
13,2010-07-19 00:00:00+00:00,21.37,22.25,20.92,21.91,2486500,0.0,0.0,
14,2010-07-20 00:00:00+00:00,21.85,21.85,20.05,20.3,1825300,0.0,0.0,
15,2010-07-21 00:00:00+00:00,20.66,20.9,19.5,20.22,1252500,0.0,0.0,
16,2010-07-22 00:00:00+00:00,20.5,21.25,20.37,21.0,957800,0.0,0.0,
17,2010-07-23 00:00:00+00:00,21.19,21.56,21.06,21.29,653600,0.0,0.0,
18,2010-07-26 00:00:00+00:00,21.5,21.5,20.3,20.95,922200,0.0,0.0,
19,2010-07-27 00:00:00+00:00,20.91,21.18,20.26,20.55,619700,0.0,0.0,
20,2010-07-28 00:00:00+00:00,20.55,20.9,20.51,20.72,467200,0.0,0.0,
21,2010-07-29 00:00:00+00:00,20.77,20.88,20.0,20.35,616000,0.0,0.0,
22,2010-07-30 00:00:00+00:00,20.2,20.44,19.55,19.94,426900,0.0,0.0,
23,2010-08-02 00:00:00+00:00,20.5,20.97,20.33,20.92,718100,0.0,0.0,
24,2010-08-03 00:00:00+00:00,21.0,21.95,20.82,21.95,1230500,0.0,0.0,
25,2010-08-04 00:00:00+00:00,21.95,22.18,20.85,21.26,913000,0.0,0.0,
26,2010-08-05 00:00:00+00:00,21.54,21.55,20.05,20.45,796200,0.0,0.0,
27,2010-08-06 00:00:00+00:00,20.1,20.16,19.52,19.59,741900,0.0,0.0,
28,2010-08-09 00:00:00+00:00,19.9,19.98,19.45,19.6,812700,0.0,0.0,
29,2010-08-10 00:00:00+00:00,19.65,19.65,18.82,19.03,1281300,0.0,0.0,
30,2010-08-11 00:00:00+00:00,18.69,18.88,17.85,17.9,797600,0.0,0.0,
31,2010-08-12 00:00:00+00:00,17.8,17.9,17.39,17.6,691000,0.0,0.0,
32,2010-08-13 00:00:00+00:00,18.18,18.45,17.66,18.32,634000,0.0,0.0,
33,2010-08-16 00:00:00+00:00,18.45,18.8,18.26,18.78,485800,0.0,0.0,
34,2010-08-17 00:00:00+00:00,18.96,19.4,18.78,19.15,447900,0.0,0.0,
35,2010-08-18 00:00:00+00:00,19.59,19.59,18.6,18.77,601300,0.0,0.0,
36,2010-08-19 00:00:00+00:00,18.54,19.25,18.33,18.79,579100,0.0,0.0,
37,2010-08-20 00:00:00+00:00,18.65,19.11,18.51,19.1,296000,0.0,0.0,
38,2010-08-23 00:00:00+00:00,19.09,20.39,19.0,20.13,1088100,0.0,0.0,
39,2010-08-24 00:00:00+00:00,19.25,19.71,18.95,19.2,673100,0.0,0.0,
40,2010-08-25 00:00:00+00:00,19.16,19.98,18.56,19.9,503300,0.0,0.0,
41,2010-08-26 00:00:00+00:00,19.89,20.27,19.6,19.75,433800,0.0,0.0,
42,2010-08-27 00:00:00+00:00,19.75,19.87,19.5,19.7,379600,0.0,0.0,
43,2010-08-30 00:00:00+00:00,19.7,20.19,19.61,19.87,732800,0.0,0.0,
44,2010-08-31 00:00:00+00:00,19.66,19.79,19.33,19.48,201100,0.0,0.0,
45,2010-09-01 00:00:00+00:00,19.62,20.69,19.6,20.45,494900,0.0,0.0,
46,2010-09-02 00:00:00+00:00,20.37,21.24,20.31,21.06,487100,0.0,0.0,
47,2010-09-03 00:00:00+00:00,20.87,21.3,20.66,21.05,434600,0.0,0.0,
48,2010-09-07 00:00:00+00:00,20.61,21.0,20.5,20.54,243400,0.0,0.0,
49,2010-09-08 00:00:00+00:00,20.66,20.95,20.6,20.9,288400,0.0,0.0,
50,2010-09-09 00:00:00+00:00,21.0,21.05,20.69,20.71,376200,0.0,0.0,
51,2010-09-10 00:00:00+00:00,20.75,20.93,19.76,20.17,386600,0.0,0.0,
52,2010-09-13 00:00:00+00:00,20.89,20.9,20.5,20.72,360800,0.0,0.0,
53,2010-09-14 00:00:00+00:00,20.54,21.6,20.53,21.12,654700,0.0,0.0,
54,2010-09-15 00:00:00+00:00,20.98,22.0,20.79,21.98,684600,0.0,0.0,
55,2010-09-16 00:00:00+00:00,22.15,23.16,20.84,20.94,2684500,0.0,0.0,
56,2010-09-17 00:00:00+00:00,21.02,21.32,19.8,20.23,1198500,0.0,0.0,
57,2010-09-20 00:00:00+00:00,20.67,21.35,20.16,21.06,947500,0.0,0.0,
58,2010-09-21 00:00:00+00:00,20.89,21.55,20.67,20.77,796000,0.0,0.0,
59,2010-09-22 00:00:00+00:00,20.87,20.95,19.8,19.87,962900,0.0,0.0,
60,2010-09-23 00:00:00+00:00,19.89,20.14,19.5,19.56,668100,0.0,0.0,
61,2010-09-24 00:00:00+00:00,19.95,20.19,19.65,20.1,578900,0.0,0.0,
62,2010-09-27 00:00:00+00:00,20.4,20.81,20.05,20.53,418600,0.0,0.0,
63,2010-09-28 00:00:00+00:00,21.04,21.49,20.76,21.4,1214500,0.0,0.0,
64,2010-09-29 00:00:00+00:00,21.19,22.03,21.13,21.98,1969300,0.0,0.0,
65,2010-09-30 00:00:00+00:00,22.0,22.15,20.19,20.41,2195800,0.0,0.0,
66,2010-10-01 00:00:00+00:00,20.69,20.75,20.31,20.6,597700,0.0,0.0,
67,2010-10-04 00:00:00+00:00,20.43,21.17,20.3,20.99,643600,0.0,0.0,
68,2010-10-05 00:00:00+00:00,21.15,21.28,21.01,21.12,332000,0.0,0.0,
69,2010-10-06 00:00:00+00:00,21.06,21.26,20.32,20.46,313400,0.0,0.0,
70,2010-10-07 00:00:00+00:00,20.57,20.64,20.34,20.43,141000,0.0,0.0,
71,2010-10-08 00:00:00+00:00,20.43,20.79,20.39,20.43,267800,0.0,0.0,
72,2010-10-11 00:00:00+00:00,20.44,20.7,20.07,20.24,171200,0.0,0.0,
73,2010-10-12 00:00:00+00:00,20.2,20.28,20.03,20.24,244000,0.0,0.0,
74,2010-10-13 00:00:00+00:00,20.64,20.85,20.36,20.54,318200,0.0,0.0,
75,2010-10-14 00:00:00+00:00,21.0,21.03,20.4,20.75,294800,0.0,0.0,
76,2010-10-15 00:00:00+00:00,20.89,20.9,20.25,20.54,284700,0.0,0.0,
77,2010-10-18 00:00:00+00:00,20.52,20.64,20.22,20.23,162800,0.0,0.0,
78,2010-10-19 00:00:00+00:00,20.2,20.41,20.0,20.05,245200,0.0,0.0,
79,2010-10-20 00:00:00+00:00,20.16,20.69,20.04,20.65,312500,0.0,0.0,
80,2010-10-21 00:00:00+00:00,20.61,20.95,20.45,20.75,417100,0.0,0.0,
81,2010-10-22 00:00:00+00:00,20.68,20.93,20.55,20.72,161100,0.0,0.0,
82,2010-10-25 00:00:00+00:00,20.94,20.98,20.73,20.85,118500,0.0,0.0,
83,2010-10-26 00:00:00+00:00,20.8,21.87,20.51,21.36,660900,0.0,0.0,
84,2010-10-27 00:00:00+00:00,21.25,21.38,20.65,21.0,356500,0.0,0.0,
85,2010-10-28 00:00:00+00:00,21.39,21.5,20.96,21.19,224200,0.0,0.0,
86,2010-10-29 00:00:00+00:00,21.14,21.85,21.05,21.84,280600,0.0,0.0,
87,2010-11-01 00:00:00+00:00,21.94,22.75,21.31,21.41,455800,0.0,0.0,
88,2010-11-02 00:00:00+00:00,21.68,21.88,21.05,21.25,322500,0.0,0.0,
89,2010-11-03 00:00:00+00:00,21.28,22.5,21.16,21.77,372600,0.0,0.0,
90,2010-11-04 00:00:00+00:00,22.6,25.33,22.15,24.9,1874000,0.0,0.0,
91,2010-11-05 00:00:00+00:00,24.87,24.97,23.72,24.44,1011000,0.0,0.0,
92,2010-11-08 00:00:00+00:00,24.5,25.0,24.03,24.98,509500,0.0,0.0,
93,2010-11-09 00:00:00+00:00,25.0,25.69,24.05,24.63,956400,0.0,0.0,
94,2010-11-10 00:00:00+00:00,24.48,29.97,24.05,29.36,3060500,0.0,0.0,
95,2010-11-11 00:00:00+00:00,28.6,29.1,27.33,28.04,1945300,0.0,0.0,
96,2010-11-12 00:00:00+00:00,28.25,30.5,28.07,29.84,2729100,0.0,0.0,
97,2010-11-15 00:00:00+00:00,30.22,32.94,30.22,30.8,2622900,0.0,0.0,
98,2010-11-16 00:00:00+00:00,31.0,31.4,28.42,29.67,1347600,0.0,0.0,
99,2010-11-17 00:00:00+00:00,30.2,30.75,28.61,29.49,750000,0.0,0.0,
100,2010-11-18 00:00:00+00:00,30.67,30.74,28.92,29.89,956100,0.0,0.0,
101,2010-11-19 00:00:00+00:00,30.16,31.37,29.7,30.99,1150500,0.0,0.0,
102,2010-11-22 00:00:00+00:00,31.57,33.45,31.5,33.4,1529700,0.0,0.0,
103,2010-11-23 00:00:00+00:00,33.29,35.68,32.19,34.57,1577800,0.0,0.0,
104,2010-11-24 00:00:00+00:00,35.27,35.97,34.33,35.47,1425000,0.0,0.0,
105,2010-11-26 00:00:00+00:00,35.6,36.0,34.75,35.32,350600,0.0,0.0,
106,2010-11-29 00:00:00+00:00,35.41,35.95,33.33,34.33,1145600,0.0,0.0,
107,2010-11-30 00:00:00+00:00,33.74,35.33,33.41,35.33,2222600,0.0,0.0,
108,2010-12-01 00:00:00+00:00,35.87,36.42,33.45,34.35,1299200,0.0,0.0,
109,2010-12-02 00:00:00+00:00,34.01,34.3,31.2,32.35,2007000,0.0,0.0,
110,2010-12-03 00:00:00+00:00,32.01,32.25,30.87,31.49,1160100,0.0,0.0,
111,2010-12-06 00:00:00+00:00,31.35,31.45,29.56,30.31,1274400,0.0,0.0,
112,2010-12-07 00:00:00+00:00,30.49,32.4,30.05,31.56,1311300,0.0,0.0,
113,2010-12-08 00:00:00+00:00,32.48,32.49,31.52,32.37,660000,0.0,0.0,
114,2010-12-09 00:00:00+00:00,32.51,32.72,31.65,32.05,406000,0.0,0.0,
115,2010-12-10 00:00:00+00:00,32.05,32.92,31.13,31.52,429400,0.0,0.0,
116,2010-12-13 00:00:00+00:00,31.64,31.77,30.4,30.55,410400,0.0,0.0,
117,2010-12-14 00:00:00+00:00,30.29,30.39,27.76,28.53,1765700,0.0,0.0,
118,2010-12-15 00:00:00+00:00,28.67,29.97,28.53,29.6,742900,0.0,0.0,
119,2010-12-16 00:00:00+00:00,30.0,30.91,29.65,30.81,790100,0.0,0.0,
120,2010-12-17 00:00:00+00:00,31.34,31.54,30.71,31.36,813000,0.0,0.0,
121,2010-12-20 00:00:00+00:00,31.64,32.19,31.26,31.7,523400,0.0,0.0,
122,2010-12-21 00:00:00+00:00,31.8,32.69,31.71,32.26,777700,0.0,0.0,
123,2010-12-22 00:00:00+00:00,32.25,32.86,31.7,32.63,833300,0.0,0.0,
124,2010-12-23 00:00:00+00:00,31.26,32.48,29.92,30.09,1552600,0.0,0.0,
125,2010-12-27 00:00:00+00:00,28.02,28.58,25.06,25.55,9301900,0.0,0.0,
126,2010-12-28 00:00:00+00:00,25.85,26.75,25.0,26.41,4056300,0.0,0.0,
127,2010-12-29 00:00:00+00:00,27.03,28.01,26.5,27.73,3319200,0.0,0.0,
128,2010-12-30 00:00:00+00:00,27.7,27.9,26.38,26.5,2041100,0.0,0.0,
129,2010-12-31 00:00:00+00:00,26.57,27.25,26.5,26.63,1417900,0.0,0.0,
130,2011-01-03 00:00:00+00:00,26.84,27.0,25.9,26.62,1283000,0.0,0.0,
131,2011-01-04 00:00:00+00:00,26.66,26.95,26.02,26.67,1187400,0.0,0.0,
132,2011-01-05 00:00:00+00:00,26.48,26.9,26.19,26.83,1446700,0.0,0.0,
133,2011-01-06 00:00:00+00:00,26.83,28.0,26.81,27.88,2061200,0.0,0.0,
134,2011-01-07 00:00:00+00:00,28.0,28.58,27.9,28.24,2247900,0.0,0.0,
135,2011-01-10 00:00:00+00:00,28.17,28.68,28.05,28.45,1342700,0.0,0.0,
136,2011-01-11 00:00:00+00:00,28.59,28.71,26.92,26.96,1710200,0.0,0.0,
137,2011-01-12 00:00:00+00:00,27.01,27.4,26.52,26.96,964400,0.0,0.0,
138,2011-01-13 00:00:00+00:00,26.96,26.97,26.16,26.22,723600,0.0,0.0,
139,2011-01-14 00:00:00+00:00,26.15,26.58,25.61,25.75,1192000,0.0,0.0,
140,2011-01-18 00:00:00+00:00,25.48,25.64,24.75,25.64,1621700,0.0,0.0,
141,2011-01-19 00:00:00+00:00,25.27,25.47,23.75,24.03,2371500,0.0,0.0,
142,2011-01-20 00:00:00+00:00,24.03,24.45,22.37,22.62,2279900,0.0,0.0,
143,2011-01-21 00:00:00+00:00,23.12,23.59,22.71,23.04,1217000,0.0,0.0,
144,2011-01-24 00:00:00+00:00,23.53,24.81,23.23,24.49,1645100,0.0,0.0,
