,hashtags_token,mentions_token,reply_to_token,text_neg,text_neu,text_pos,text_compound,hashtags_neg,hashtags_neu,hashtags_pos,hashtags_compound,hour,delta_time,log10_delta_time,dcompound_dTime,dcompound_dTweet,integral_compound_5,integral_compound_10,delta_compound_mean,delta_compound_median
0,0.0,0.0,0.0,0.113,0.586,0.302,0.4939,0.0,0.0,0.0,0.0,0.782608695652174,0.00012750495707396865,0.49241969386937584,0.0,0.0,0.13526318672290066,0.07901515030316612,0.26898084906097575,0.5046490242157965
1,0.0,0.0,0.0,0.067,0.608,0.325,0.8588,0.0,0.0,0.0,0.0,0.391304347826087,1.0,1.0,1.293698110229428e-08,0.19254920584665716,0.3704606452319654,0.21640776233061917,0.586639566096271,0.8774905486870338
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43478260869565216,4.320292962189637e-05,0.43116113869220307,-0.0007047545988355957,-0.4531686982217297,0.3704606452319654,0.21640776233061917,-0.16097705815670685,0.0
3,0.0,0.0,0.0,0.186,0.505,0.309,0.5994,0.0,0.0,0.0,0.0,0.34782608695652173,0.0035081713889331735,0.6800417771336174,6.057522231106588e-06,0.3162893778692418,0.5346168592868483,0.3123010222855044,0.3608224348302924,0.6124450802084398
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,2.1038317917204827e-06,0.2600981290780492,-0.0101010101010101,-0.3162893778692418,0.5346168592868483,0.3123010222855044,-0.16097705815670685,0.0
5,0.0,0.0,0.0,0.0,0.592,0.408,0.7346,0.0,0.0,0.0,0.0,0.13043478260869565,0.0014685383430994338,0.6307502305784145,1.7734735434853614e-05,0.38763125956413913,0.6005367804129916,0.4298238597277109,0.4785189504322983,0.7505875140492491
6,0.0,0.0,0.0,0.0,0.641,0.359,0.8777,0.0,0.0,0.0,0.0,0.43478260869565216,0.03173978771359683,0.8047088001534607,1.5984339545396576e-07,0.07551052714896311,0.6057128772525601,0.5702401331050928,0.6030927032625278,0.8968018800449576
7,0.0,0.0,0.0,0.0,0.711,0.289,0.6908,0.0,0.0,0.0,0.0,0.43478260869565216,4.122660278724986e-06,0.2981772175933075,-0.0016072773804732573,-0.09862276397023907,0.7949005860765725,0.6807557553554009,0.44038945795176676,0.7058342699499336
8,0.0,0.0,0.0,0.321,0.472,0.208,-0.5574,0.0,0.0,0.0,0.0,0.43478260869565216,1.629938367928899e-05,0.37598549021755223,-0.0027150140144490426,-0.6586459817423882,0.4780905953880698,0.591581742844802,-0.64621402410758,-0.5695310105241647
9,0.0,0.0,0.0,0.129,0.706,0.165,0.1531,0.0,0.0,0.0,0.0,0.43478260869565216,7.161528422321239e-06,0.32943486364548263,0.0035173650406093533,0.3749142525460398,0.5200197184641502,0.6160749996000454,-0.027697941746447276,0.1564320016348217
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,1.508808658708629e-05,0.37161449348439446,-0.00035974942078228464,-0.0807872935465147,0.3188366106151061,0.5370598492968793,-0.16097705815670685,0.0
11,0.0,1.0,0.0,0.075,0.841,0.084,0.0613,0.0,0.0,0.0,0.0,0.4782608695652174,1.7425677466775715e-05,0.3797675715172708,0.00012471821414910845,0.03234657801699119,0.09525113655036402,0.4094741388964441,-0.10761317941112286,0.06263410646776336
12,0.0,0.0,0.0,0.0,0.653,0.347,0.4926,0.0,0.0,0.0,0.0,1.0,0.0009221158495589413,0.6044098548881999,1.6582616293776566e-05,0.22758693472639965,0.04097058662430834,0.4882813124930013,0.2678491517955718,0.5033207315827117
13,0.0,0.0,0.0,0.0,0.87,0.13,0.4019,0.0,0.0,0.0,0.0,0.13043478260869565,0.0003005079329971651,0.5409466206552099,-1.0700656576714376e-05,-0.04786027122579284,0.30369173467710975,0.4566848512966552,0.18889150412469954,0.4106467763359558
14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.0005016045011289927,0.5699465401674383,-2.840636490300389e-05,-0.21207324151759802,0.2617626116010294,0.4566848512966552,-0.16097705815670685,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.00013247765039985343,0.4945852564155409,0.0,0.0,0.2617626116010294,0.33916201385444866,-0.16097705815670685,0.0
16,0.0,0.0,0.0,0.213,0.787,0.0,-0.2263,0.0,0.0,0.0,0.0,0.043478260869565216,0.0029060292291513564,0.669382995700865,-2.760855369162072e-06,-0.11941322357659226,0.18299830202114234,0.16254179531892443,-0.35797943597278614,-0.23122509451312967
17,0.0,0.0,0.0,0.0,0.576,0.424,0.8957,0.0,0.0,0.0,0.0,0.043478260869565216,5.440211501822662e-06,0.3138743549143093,0.0073119994994994995,0.5920531898052874,0.2933943145095029,0.19532212392212095,0.618762357706582,0.9151936241953612
18,0.0,0.0,0.0,0.0,0.933,0.067,0.0772,0.0,0.0,0.0,0.0,0.043478260869565216,1.0157894913559501e-05,0.3492192284416431,-0.0028567619223128287,-0.4319033296395969,0.20446951854083342,0.296846753163646,-0.09377165131887512,0.07888014713395321
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.0038564511791807188,0.6853994011327925,-7.09722449779281e-07,-0.0407366365890982,0.20446951854083342,0.27235349640840256,-0.16097705815670685,0.0
